Ten phong ban,Ma nhan vien,Ho ten nhan vien,Ngay sinh,Gioi tinh,Luong co ban,Tuoi,Luong moi,Ghi chu,Chuc vu
Marketing,NV02452,Chi Lam Tran,1985-08-06,Nu,13464525,39,15484204,Tăng lương 15%,Nhan vien
Kinh doanh,NV02453,Quy co Mai Pham,2000-08-02,Nam,20852029,24,20852029,Không tăng lương,Nhan vien
Ke toan,NV02454,Huy Quang Vu,1967-11-06,Nam,22020011,57,25323013,Tăng lương 15%,Nhan vien
Nhan su,NV02455,Tung Duong,1972-12-19,Nam,14234971,52,16370217,Tăng lương 15%,Nhan vien
Ke toan,NV02456,Quy co Bao Bui,1974-10-20,Nam,22336308,50,25686754,Tăng lương 15%,Nhan vien
Ke toan,NV02457,Thanh The Tran,1975-09-16,Nu,22499182,49,25874059,Tăng lương 15%,Nhan vien
Kinh doanh,NV02458,Kim Dang,1970-02-07,Nam,25172357,55,28948211,Tăng lương 15%,Nhan vien
Ky thuat,NV02459,Ba Khoa Dang,1989-09-19,Nu,17075323,35,19636621,Tăng lương 15%,Nhan vien
Kinh doanh,NV02460,Dung Hoang Vu,1988-03-04,Nu,7483375,37,8605881,Tăng lương 15%,Nhan vien
Nhan su,NV02461,Bao Huu Bui,1993-11-16,Nam,15670005,31,18020506,Tăng lương 15%,Nhan vien
Ke toan,NV02462,Thanh Hoang,1988-11-30,Nu,11091415,36,12755127,Tăng lương 15%,Nhan vien
Nhan su,NV02463,Anh Khoa Bui,1964-07-26,Nu,9948058,60,11440267,Tăng lương 15%,Nhan vien
Ky thuat,NV02464,Ong Minh Dang,1993-12-20,Nu,27048485,31,31105758,Tăng lương 15%,Nhan vien
Ky thuat,NV02465,Ong Hung Hoang,1996-02-05,Nam,12346041,29,12346041,Không tăng lương,Nhan vien
Marketing,NV02466,Trung Duong,1984-02-06,Nu,12204265,41,14034905,Tăng lương 15%,Nhan vien
Ke toan,NV02467,Trong Hoang,1985-03-14,Nam,8593665,40,9882715,Tăng lương 15%,Nhan vien
Kinh doanh,NV02468,Quang Mai Bao Pham,1966-04-13,Nu,15395562,59,17704896,Tăng lương 15%,Nhan vien
Marketing,NV02469,Anh Vu Le,1982-06-25,Nu,10909867,43,12546347,Tăng lương 15%,Nhan vien
Ke toan,NV02470,Anh Chau Tran,1987-10-03,Nu,28266936,37,32506976,Tăng lương 15%,Nhan vien
Kinh doanh,NV02471,Trung Tri Tran,1968-02-07,Nu,23106602,57,26572592,Tăng lương 15%,Nhan vien
Nhan su,NV02472,Trung Hoang,1980-09-05,Nam,12827506,44,14751632,Tăng lương 15%,Nhan vien
Ke toan,NV02473,Bao Van Tran,1996-11-08,Nam,5220463,28,5220463,Không tăng lương,Nhan vien
Ky thuat,NV02474,Chi Xuan Dang,1984-12-24,Nu,26497529,40,30472158,Tăng lương 15%,Nhan vien
Nhan su,NV02475,Chi Duyen Le,1985-05-18,Nu,22757082,40,26170644,Tăng lương 15%,Nhan vien
Kinh doanh,NV02476,Quy co Thanh Nguyen,1995-09-20,Nu,16699161,29,16699161,Không tăng lương,Nhan vien
Ky thuat,NV02477,Chi Hai Pham,1965-06-06,Nam,16931952,60,19471745,Tăng lương 15%,Nhan vien
Marketing,NV02478,Ba Xuan Duong,1987-01-20,Nam,5509025,38,6335379,Tăng lương 15%,Nhan vien
Kinh doanh,NV02479,Co Hanh Duong,1970-08-13,Nam,20030454,54,23035022,Tăng lương 15%,Nhan vien
Ke toan,NV02480,Nhat Pham,2002-09-25,Nu,18611689,22,18611689,Không tăng lương,Nhan vien
Kinh doanh,NV02481,Co Khoa Tran,1978-08-18,Nu,29341195,46,33742374,Tăng lương 15%,Nhan vien
Ke toan,NV02482,Nam Dang,1967-01-15,Nam,13933658,58,16023707,Tăng lương 15%,Nhan vien
Kinh doanh,NV02483,Xuan Pham,1990-11-18,Nam,16952537,34,19495418,Tăng lương 15%,Nhan vien
Marketing,NV02484,Bao Mai Bao Vu,1967-08-19,Nu,11087064,57,12750124,Tăng lương 15%,Nhan vien
Nhan su,NV02485,Duong Dang,1996-11-29,Nam,29108831,28,29108831,Không tăng lương,Nhan vien
Marketing,NV02486,Bao Nguyen,1999-02-18,Nam,16481788,26,16481788,Không tăng lương,Nhan vien
Ke toan,NV02487,Hong Mai,1999-04-04,Nu,9726716,26,9726716,Không tăng lương,Nhan vien
Ky thuat,NV02488,Huong Le,1991-02-26,Nam,11601470,34,13341690,Tăng lương 15%,Nhan vien
Nhan su,NV02489,Hai The Vu,1994-02-22,Nam,22232142,31,25566963,Tăng lương 15%,Nhan vien
Marketing,NV02490,Chi Bao Mai,1996-06-03,Nu,24683901,29,24683901,Không tăng lương,Nhan vien
Nhan su,NV02491,An Vu,1968-04-12,Nu,24205041,57,27835797,Tăng lương 15%,Nhan vien
Ke toan,NV02492,Xuan Vu,1988-01-07,Nam,11134858,37,12805087,Tăng lương 15%,Nhan vien
Marketing,NV02493,Thanh Quang Pham,1983-08-13,Nam,27583819,41,31721392,Tăng lương 15%,Nhan vien
Ky thuat,NV02494,Quy co Hanh Nguyen,2001-04-02,Nu,21975135,24,21975135,Không tăng lương,Nhan vien
Marketing,NV02495,Chi Anh Le,1965-01-27,Nu,6862803,60,7892223,Tăng lương 15%,Nhan vien
Ky thuat,NV02496,Ba Chi Vu,1991-10-25,Nam,24706274,33,28412215,Tăng lương 15%,Nhan vien
Kinh doanh,NV02497,Kim The Tran,1965-02-19,Nam,13072477,60,15033349,Tăng lương 15%,Nhan vien
Marketing,NV02498,Tu Bui,1992-07-28,Nu,13093495,32,15057519,Tăng lương 15%,Nhan vien
Ke toan,NV02499,Anh Tung Dang,1999-06-25,Nam,16561462,26,16561462,Không tăng lương,Nhan vien
Ky thuat,NV02500,Bac Anh Hoang,1994-09-20,Nam,17824932,30,17824932,Không tăng lương,Nhan vien
Kinh doanh,NV02501,Ong Khoa Le,1982-07-10,Nam,19947976,42,22940172,Tăng lương 15%,Nhan vien
Marketing,NV02502,Nhien Tran,1994-10-31,Nu,14772586,30,14772586,Không tăng lương,Nhan vien
Marketing,NV02503,Vu Duc Duong,1994-05-23,Nam,9539905,31,10970891,Tăng lương 15%,Nhan vien
Marketing,NV02504,Khoa Hoang,1985-10-16,Nam,18287866,39,21031046,Tăng lương 15%,Nhan vien
Nhan su,NV02505,Chi Phuong Tran,1987-12-31,Nu,5408205,37,6219436,Tăng lương 15%,Nhan vien
Ke toan,NV02506,Chi Nhat Dang,2002-12-05,Nam,21706216,22,21706216,Không tăng lương,Nhan vien
Nhan su,NV02507,An Hoang,1975-09-06,Nam,11335980,49,13036377,Tăng lương 15%,Nhan vien
Ky thuat,NV02508,Ong Trung Mai,1979-09-01,Nu,14501802,45,16677072,Tăng lương 15%,Nhan vien
Kinh doanh,NV02509,Tu Xuan Dang,1996-09-29,Nam,16045639,28,16045639,Không tăng lương,Nhan vien
Marketing,NV02510,Chau Hoang,1974-05-19,Nam,24599188,51,28289066,Tăng lương 15%,Nhan vien
Kinh doanh,NV02511,Nhat Van Vu,1969-08-01,Nam,19747311,55,22709408,Tăng lương 15%,Nhan vien
Kinh doanh,NV02512,Nhat The Tran,1973-10-05,Nam,25421646,51,29234893,Tăng lương 15%,Nhan vien
Ke toan,NV02513,Phuc Vu,1988-12-27,Nu,12448692,36,14315996,Tăng lương 15%,Nhan vien
Ke toan,NV02514,Anh Nguyen,1986-04-05,Nam,15962399,39,18356759,Tăng lương 15%,Nhan vien
Ky thuat,NV02515,Trung Nguyen,1972-08-19,Nu,12609239,52,14500625,Tăng lương 15%,Nhan vien
Marketing,NV02516,Quy co Chi Duong,1980-05-13,Nam,5228557,45,6012841,Tăng lương 15%,Nhan vien
Kinh doanh,NV02517,Co Vi Hoang,1976-03-07,Nu,23929202,49,27518582,Tăng lương 15%,Nhan vien
Marketing,NV02518,Ba Kim Le,1978-05-20,Nu,18961093,47,21805257,Tăng lương 15%,Nhan vien
Marketing,NV02519,Hai Duong,1982-01-04,Nam,11620770,43,13363885,Tăng lương 15%,Nhan vien
Kinh doanh,NV02520,Hoang Hoang,1974-07-26,Nam,17330739,50,19930350,Tăng lương 15%,Nhan vien
Kinh doanh,NV02521,Co Yen Vu,1995-08-26,Nam,14469538,29,14469538,Không tăng lương,Nhan vien
Kinh doanh,NV02522,Quang Hoang,1972-04-25,Nam,21607273,53,24848364,Tăng lương 15%,Nhan vien
Ke toan,NV02523,Thao Le,1995-02-25,Nu,6712916,30,6712916,Không tăng lương,Nhan vien
Marketing,NV02524,Lam Nguyen,2000-08-22,Nu,19840099,24,19840099,Không tăng lương,Nhan vien
Nhan su,NV02525,Trong Bui,1976-01-20,Nam,11748401,49,13510661,Tăng lương 15%,Nhan vien
Ky thuat,NV02526,Thao Mai,1994-07-10,Nam,6851422,30,6851422,Không tăng lương,Nhan vien
Ky thuat,NV02527,Chi Huong Vu,1979-09-24,Nu,21212486,45,24394359,Tăng lương 15%,Nhan vien
Marketing,NV02528,Ong Khoa Duong,1976-05-31,Nam,28213719,49,32445777,Tăng lương 15%,Nhan vien
Ke toan,NV02529,Co Huong Mai,1977-07-10,Nu,18507889,47,21284072,Tăng lương 15%,Nhan vien
Ky thuat,NV02530,Khoa The Le,1985-08-07,Nam,22511101,39,25887766,Tăng lương 15%,Nhan vien
Marketing,NV02531,Chi Phuong Bui,1977-01-14,Nu,22568739,48,25954050,Tăng lương 15%,Nhan vien
Kinh doanh,NV02532,Ha Van Tran,1986-11-23,Nu,12703905,38,14609491,Tăng lương 15%,Nhan vien
Ky thuat,NV02533,Nhat Quang Bui,1969-04-05,Nam,9731712,56,11191469,Tăng lương 15%,Nhan vien
Ky thuat,NV02534,Co An Pham,1991-09-18,Nam,8908337,33,10244588,Tăng lương 15%,Nhan vien
Ky thuat,NV02535,Bao Hai Mai,1971-07-14,Nam,9709947,53,11166439,Tăng lương 15%,Nhan vien
Kinh doanh,NV02536,Co Chi Duong,1977-01-11,Nam,7680819,48,8832942,Tăng lương 15%,Nhan vien
Ky thuat,NV02537,Bac Nhien Hoang,2000-10-14,Nam,16083905,24,16083905,Không tăng lương,Nhan vien
Ke toan,NV02538,Minh Mai,1981-09-15,Nam,12401658,43,14261907,Tăng lương 15%,Nhan vien
Nhan su,NV02539,Thanh Thi Dang,1986-04-02,Nam,8140882,39,9362014,Tăng lương 15%,Nhan vien
Nhan su,NV02540,Hai Quang Dang,1983-08-14,Nu,19235124,41,22120393,Tăng lương 15%,Nhan vien
Ke toan,NV02541,Phuc Vu,1993-01-22,Nam,11604954,32,13345697,Tăng lương 15%,Nhan vien
Ke toan,NV02542,Quy ong Hoang Le,1973-05-03,Nu,16603677,52,19094229,Tăng lương 15%,Nhan vien
Marketing,NV02543,Bao Duong,1969-02-01,Nam,13319266,56,15317156,Tăng lương 15%,Nhan vien
Ke toan,NV02544,Phuc Quang Mai,1975-06-09,Nam,19752832,50,22715757,Tăng lương 15%,Nhan vien
Kinh doanh,NV02545,Quy ong Tung Pham,1992-08-05,Nam,22236329,32,25571778,Tăng lương 15%,Nhan vien
Kinh doanh,NV02546,Co Huong Mai,1970-04-16,Nam,15961938,55,18356229,Tăng lương 15%,Nhan vien
Ky thuat,NV02547,Ong Chau Dang,1980-06-19,Nam,23447613,45,26964755,Tăng lương 15%,Nhan vien
Ke toan,NV02548,Anh Phu Hoang,1968-06-12,Nu,21750838,57,25013464,Tăng lương 15%,Nhan vien
Marketing,NV02549,An Tran,1993-06-19,Nu,20441427,32,23507641,Tăng lương 15%,Nhan vien
Kinh doanh,NV02550,Quy co Yen Le,1986-09-26,Nu,7191635,38,8270380,Tăng lương 15%,Nhan vien
Marketing,NV02551,Quy ong Chau Dang,1984-01-26,Nu,6929428,41,7968842,Tăng lương 15%,Nhan vien
Marketing,NV02552,Thao Dang,1994-10-02,Nu,11147304,30,11147304,Không tăng lương,Nhan vien
Ky thuat,NV02553,Quy co Huong Pham,1983-11-26,Nam,18287897,41,21031082,Tăng lương 15%,Nhan vien
Ky thuat,NV02554,Thanh Duc Duong,1983-07-03,Nu,27782661,41,31950060,Tăng lương 15%,Nhan vien
Ke toan,NV02555,Anh Bao Nguyen,1981-01-01,Nam,20651261,44,23748950,Tăng lương 15%,Nhan vien
Marketing,NV02556,Co Nhat Le,1995-11-05,Nam,8096275,29,8096275,Không tăng lương,Nhan vien
Marketing,NV02557,Ba Lam Hoang,1982-04-04,Nam,22902715,43,26338122,Tăng lương 15%,Nhan vien
Ky thuat,NV02558,Huong Tran,1980-10-04,Nu,18790273,44,21608814,Tăng lương 15%,Nhan vien
Nhan su,NV02559,Duong Nguyen,1976-01-10,Nam,13184433,49,15162098,Tăng lương 15%,Nhan vien
Kinh doanh,NV02560,Chau Vu,1978-10-18,Nu,16849558,46,19376992,Tăng lương 15%,Nhan vien
Kinh doanh,NV02561,Ba Nhat Vu,1990-03-09,Nam,21796612,35,25066104,Tăng lương 15%,Nhan vien
Marketing,NV02562,Chi An Hoang,1983-11-04,Nam,28680197,41,32982227,Tăng lương 15%,Nhan vien
Marketing,NV02563,Ong Trung Bui,1988-04-08,Nu,6713811,37,7720883,Tăng lương 15%,Nhan vien
Nhan su,NV02564,Quang The Mai,1980-06-10,Nu,8391994,45,9650793,Tăng lương 15%,Nhan vien
Ke toan,NV02565,Quy co Ha Nguyen,1975-11-15,Nam,14721100,49,16929265,Tăng lương 15%,Nhan vien
Nhan su,NV02566,Dung Duc Le,1969-01-29,Nam,9073367,56,10434372,Tăng lương 15%,Nhan vien
Ky thuat,NV02567,Bac Hoang Dang,1964-10-15,Nu,7195428,60,8274742,Tăng lương 15%,Nhan vien
Ky thuat,NV02568,Quy co Nhat Tran,1984-09-16,Nu,25835907,40,29711293,Tăng lương 15%,Nhan vien
Nhan su,NV02569,Quy co Duyen Tran,1980-08-21,Nu,24043993,44,27650592,Tăng lương 15%,Nhan vien
Nhan su,NV02570,Quy co Hanh Nguyen,1986-05-17,Nam,14253288,39,16391281,Tăng lương 15%,Nhan vien
Nhan su,NV02571,Hanh Mai Vu,1969-09-25,Nu,14586855,55,16774883,Tăng lương 15%,Nhan vien
Ky thuat,NV02572,Ong Quang Le,1993-09-23,Nam,24933914,31,28674001,Tăng lương 15%,Nhan vien
Nhan su,NV02573,Co Chi Bui,1985-06-29,Nam,22679208,39,26081089,Tăng lương 15%,Nhan vien
Ky thuat,NV02574,Hai Mai,1987-11-17,Nu,25351430,37,29154144,Tăng lương 15%,Nhan vien
Ky thuat,NV02575,Quy co Linh Duong,1967-10-30,Nam,14114551,57,16231734,Tăng lương 15%,Nhan vien
Ky thuat,NV02576,Bac Hoang Le,1995-11-05,Nu,10980611,29,10980611,Không tăng lương,Nhan vien
Kinh doanh,NV02577,Khoa Mai,1978-01-02,Nam,6038758,47,6944572,Tăng lương 15%,Nhan vien
Ke toan,NV02578,Ba Hai Dang,1974-12-02,Nu,21910446,50,25197013,Tăng lương 15%,Nhan vien
Marketing,NV02579,Chi Ngoc Duong,1988-01-14,Nam,5003515,37,5754042,Tăng lương 15%,Nhan vien
Marketing,NV02580,Nhat Mai,1980-06-06,Nu,18980850,45,21827978,Tăng lương 15%,Nhan vien
Kinh doanh,NV02581,Quy ong Quang Duong,1991-11-17,Nam,6226893,33,7160927,Tăng lương 15%,Nhan vien
Kinh doanh,NV02582,Van Nguyen,1992-12-27,Nu,26639510,32,30635436,Tăng lương 15%,Nhan vien
Kinh doanh,NV02583,Thanh Bui,1965-04-08,Nu,29874190,60,34355318,Tăng lương 15%,Quan ly
Ke toan,NV02584,Ngoc Tran,1972-03-18,Nam,26283750,53,30226312,Tăng lương 15%,Nhan vien
Kinh doanh,NV02585,Ong Tu Hoang,1981-03-29,Nam,28553916,44,32837003,Tăng lương 15%,Nhan vien
Ke toan,NV02586,Chi Ngoc Duong,1978-05-19,Nu,13489881,47,15513363,Tăng lương 15%,Nhan vien
Nhan su,NV02587,Quy co Lam Hoang,1965-06-01,Nu,23354964,60,26858209,Tăng lương 15%,Nhan vien
Kinh doanh,NV02588,Thao Tran,1964-09-14,Nam,21466941,60,24686982,Tăng lương 15%,Nhan vien
Ky thuat,NV02589,Anh Tu Nguyen,1973-04-05,Nam,14021924,52,16125213,Tăng lương 15%,Nhan vien
Kinh doanh,NV02590,Trong Dang,1985-07-07,Nu,6665765,39,7665630,Tăng lương 15%,Nhan vien
Marketing,NV02591,Tung Vu,1980-12-03,Nam,8945815,44,10287687,Tăng lương 15%,Nhan vien
Kinh doanh,NV02592,Chi Hanh Hoang,1997-12-10,Nam,28241180,27,28241180,Không tăng lương,Nhan vien
Ky thuat,NV02593,Tung Hoang Mai,1972-04-12,Nu,14609368,53,16800773,Tăng lương 15%,Nhan vien
Nhan su,NV02594,Phuong Mai,1988-11-27,Nam,8597217,36,9886800,Tăng lương 15%,Nhan vien
Kinh doanh,NV02595,Nhien Nguyen,1989-05-29,Nam,7013234,36,8065219,Tăng lương 15%,Nhan vien
Ke toan,NV02596,Co Lam Pham,1968-07-06,Nam,17151253,56,19723941,Tăng lương 15%,Nhan vien
Marketing,NV02597,Mai Hoang,1982-07-03,Nu,28509190,42,32785568,Tăng lương 15%,Nhan vien
Kinh doanh,NV02598,Khoa Le,1964-10-26,Nam,6509687,60,7486140,Tăng lương 15%,Nhan vien
Nhan su,NV02599,Huy Tran,1984-03-10,Nam,29746916,41,34208953,Tăng lương 15%,Nhan vien
Marketing,NV02600,Quy ong Nam Vu,1991-11-08,Nam,12208354,33,14039607,Tăng lương 15%,Nhan vien
Nhan su,NV02601,Dung Le,1992-12-29,Nu,24100903,32,27716038,Tăng lương 15%,Nhan vien
Ke toan,NV02602,Nhien Tran,1970-06-02,Nu,24939611,55,28680553,Tăng lương 15%,Nhan vien
Marketing,NV02603,Anh Trong Vu,1978-02-18,Nam,13077071,47,15038632,Tăng lương 15%,Nhan vien
Kinh doanh,NV02604,Hung Van Tran,1979-05-03,Nam,29816534,46,34289014,Tăng lương 15%,Nhan vien
Ky thuat,NV02605,Vu Quang Pham,1998-06-08,Nam,12637785,27,12637785,Không tăng lương,Nhan vien
Ky thuat,NV02606,Nhat Van Bui,1992-08-06,Nu,8925748,32,10264610,Tăng lương 15%,Nhan vien
Nhan su,NV02607,Anh Chau Tran,1988-06-15,Nu,19599035,37,22538890,Tăng lương 15%,Nhan vien
Kinh doanh,NV02608,Co Anh Duong,1989-01-28,Nam,28044815,36,32251537,Tăng lương 15%,Nhan vien
Ke toan,NV02609,Khoa Duong,1994-11-18,Nu,10002223,30,10002223,Không tăng lương,Nhan vien
Ky thuat,NV02610,Ha Duc Bui,1985-07-01,Nam,18797860,39,21617539,Tăng lương 15%,Nhan vien
Marketing,NV02611,Dung Hoang,1964-06-21,Nu,12451825,61,14319599,Tăng lương 15%,Nhan vien
Kinh doanh,NV02612,Anh Tung Bui,1967-11-26,Nu,10620852,57,12213980,Tăng lương 15%,Nhan vien
Ky thuat,NV02613,Van Mai,1993-02-06,Nu,8442817,32,9709240,Tăng lương 15%,Nhan vien
Nhan su,NV02614,Ba Nhat Pham,1978-01-27,Nam,29764119,47,34228737,Tăng lương 15%,Nhan vien
Kinh doanh,NV02615,An Van Nguyen,1995-09-28,Nam,23667275,29,23667275,Không tăng lương,Nhan vien
Nhan su,NV02616,Minh Mai Bao Vu,1997-02-01,Nam,5104614,28,5104614,Không tăng lương,Nhan vien
Ky thuat,NV02617,Quy ong Chau Hoang,1978-01-19,Nu,5168138,47,5943359,Tăng lương 15%,Nhan vien
Kinh doanh,NV02618,Khoa Duong,1993-12-16,Nu,6239760,31,7175724,Tăng lương 15%,Nhan vien
Ky thuat,NV02619,Quy co Ngoc Vu,1993-11-24,Nu,15484258,31,17806897,Tăng lương 15%,Nhan vien
Kinh doanh,NV02620,Kim Hoang,2002-06-01,Nu,9724294,23,9724294,Không tăng lương,Nhan vien
Marketing,NV02621,Phuong Le,1970-04-08,Nam,19821945,55,22795237,Tăng lương 15%,Nhan vien
Kinh doanh,NV02622,Nhat Thi Le,1992-01-14,Nam,10672102,33,12272917,Tăng lương 15%,Nhan vien
Nhan su,NV02623,Ba Vi Mai,1992-10-27,Nam,8887338,32,10220439,Tăng lương 15%,Nhan vien
Ky thuat,NV02624,Chau Mai,1965-08-27,Nam,20680168,59,23782193,Tăng lương 15%,Nhan vien
Nhan su,NV02625,Chi Bao Vu,1995-11-17,Nam,20524761,29,20524761,Không tăng lương,Nhan vien
Kinh doanh,NV02626,Kim Phu Bui,1993-08-06,Nam,25379434,31,29186349,Tăng lương 15%,Nhan vien
Marketing,NV02627,Trong Tran,1979-05-30,Nu,26832789,46,30857707,Tăng lương 15%,Nhan vien
Kinh doanh,NV02628,Linh Le,1999-05-23,Nu,21873605,26,21873605,Không tăng lương,Nhan vien
Marketing,NV02629,Co Ngoc Mai,1996-08-24,Nu,16314162,28,16314162,Không tăng lương,Nhan vien
Marketing,NV02630,Quy co Bao Vu,1982-06-21,Nu,28414631,43,32676826,Tăng lương 15%,Nhan vien
Ky thuat,NV02631,Ha The Vu,1970-03-25,Nu,20774817,55,23891040,Tăng lương 15%,Nhan vien
Kinh doanh,NV02632,Chi Huong Pham,1995-05-17,Nu,12156325,30,12156325,Không tăng lương,Nhan vien
Ke toan,NV02633,Ha Pham,2000-02-20,Nam,15960076,25,15960076,Không tăng lương,Nhan vien
Nhan su,NV02634,Khoa Le,1999-04-26,Nu,5397451,26,5397451,Không tăng lương,Nhan vien
Ke toan,NV02635,Linh Nguyen,1991-08-22,Nam,10533790,33,12113858,Tăng lương 15%,Nhan vien
Kinh doanh,NV02636,Nhat Phu Duong,1975-05-15,Nam,27581678,50,31718930,Tăng lương 15%,Nhan vien
Marketing,NV02637,Ba Hai Duong,1968-11-22,Nam,19016146,56,21868568,Tăng lương 15%,Nhan vien
Kinh doanh,NV02638,Thanh Van Mai,1977-12-25,Nu,21605291,47,24846085,Tăng lương 15%,Nhan vien
Nhan su,NV02639,An Huu Hoang,1984-06-14,Nam,21753828,41,25016902,Tăng lương 15%,Nhan vien
Ky thuat,NV02640,Ba Huong Nguyen,1999-05-06,Nu,16134900,26,16134900,Không tăng lương,Nhan vien
Kinh doanh,NV02641,Chi Hong Vu,1985-08-19,Nu,24768880,39,28484212,Tăng lương 15%,Nhan vien
Nhan su,NV02642,Huong Duong,1980-10-22,Nam,28704265,44,33009905,Tăng lương 15%,Nhan vien
Ky thuat,NV02643,Ha Hoang,1996-12-01,Nam,16107462,28,16107462,Không tăng lương,Nhan vien
Kinh doanh,NV02644,Anh Quang Dang,1972-10-19,Nu,12470781,52,14341398,Tăng lương 15%,Nhan vien
Kinh doanh,NV02645,Co Lan Vu,1975-01-07,Nam,16058284,50,18467027,Tăng lương 15%,Nhan vien
Ky thuat,NV02646,Kim Tran,1974-12-13,Nu,17518237,50,20145973,Tăng lương 15%,Nhan vien
Ky thuat,NV02647,Ong Trong Tran,1985-08-30,Nam,6328460,39,7277729,Tăng lương 15%,Nhan vien
Ky thuat,NV02648,Ong Khoa Dang,1996-07-19,Nu,21097296,28,21097296,Không tăng lương,Nhan vien
Ky thuat,NV02649,Quy ong Tung Tran,1971-01-09,Nam,7993577,54,9192614,Tăng lương 15%,Nhan vien
Kinh doanh,NV02650,Quy co Phuong Pham,1998-10-22,Nu,7119616,26,7119616,Không tăng lương,Nhan vien
Marketing,NV02651,Bao Tran,1988-05-03,Nu,20186168,37,23214093,Tăng lương 15%,Nhan vien
Ky thuat,NV02652,Chi Linh Bui,1981-11-08,Nu,8032526,43,9237405,Tăng lương 15%,Nhan vien
Nhan su,NV02653,Xuan Vu,1973-03-11,Nu,28231222,52,32465905,Tăng lương 15%,Nhan vien
Kinh doanh,NV02654,Chi Mai Pham,2002-05-19,Nu,9509754,23,9509754,Không tăng lương,Nhan vien
Nhan su,NV02655,Xuan Vu,1967-10-28,Nam,10083735,57,11596295,Tăng lương 15%,Nhan vien
Ke toan,NV02656,Phuong Le,1977-07-18,Nam,24759434,47,28473349,Tăng lương 15%,Nhan vien
Ke toan,NV02657,Chi Ha Vu,1978-02-07,Nu,12983966,47,14931561,Tăng lương 15%,Nhan vien
Ky thuat,NV02658,Lam The Pham,1990-12-16,Nu,24632832,34,28327757,Tăng lương 15%,Nhan vien
Marketing,NV02659,Chi Duong Dang,1968-11-07,Nam,22351953,56,25704746,Tăng lương 15%,Nhan vien
Nhan su,NV02660,Hanh Quang Bui,1964-12-18,Nu,27732479,60,31892351,Tăng lương 15%,Nhan vien
Ke toan,NV02661,Phuong Dang,1996-07-17,Nu,24519683,28,24519683,Không tăng lương,Nhan vien
Marketing,NV02662,Ba Xuan Tran,1999-01-13,Nu,9276936,26,9276936,Không tăng lương,Nhan vien
Marketing,NV02663,Minh Quang Hoang,1995-01-23,Nu,26421748,30,26421748,Không tăng lương,Nhan vien
Ke toan,NV02664,Hung Dang,1967-10-12,Nu,10948489,57,12590762,Tăng lương 15%,Nhan vien
Marketing,NV02665,Quy co Chi Vu,1965-05-22,Nam,7025782,60,8079649,Tăng lương 15%,Nhan vien
Kinh doanh,NV02666,Bao Mai Bao Pham,1985-06-30,Nam,27782328,39,31949677,Tăng lương 15%,Nhan vien
Ke toan,NV02667,Quy ong Tu Vu,1999-04-04,Nam,28275033,26,28275033,Không tăng lương,Nhan vien
Ke toan,NV02668,Hoang Tan Mai,1978-11-21,Nam,28511411,46,32788123,Tăng lương 15%,Nhan vien
Kinh doanh,NV02669,Lam Dang,1989-12-21,Nu,16179285,35,18606178,Tăng lương 15%,Nhan vien
Kinh doanh,NV02670,Chau Tran,1978-09-30,Nam,26474891,46,30446125,Tăng lương 15%,Nhan vien
Kinh doanh,NV02671,Vu Nguyen,1988-01-17,Nam,17927954,37,20617147,Tăng lương 15%,Nhan vien
Marketing,NV02672,Vu Tran,1983-02-26,Nam,5980615,42,6877707,Tăng lương 15%,Nhan vien
Nhan su,NV02673,Ong Tu Duong,1995-06-02,Nam,26744408,30,26744408,Không tăng lương,Nhan vien
Ke toan,NV02674,Anh Tung Tran,1974-01-02,Nam,10621799,51,12215069,Tăng lương 15%,Nhan vien
Nhan su,NV02675,Ha Bao Le,1986-07-10,Nu,19686665,38,22639665,Tăng lương 15%,Nhan vien
Nhan su,NV02676,Co Nhat Duong,1990-08-28,Nam,5088542,34,5851823,Tăng lương 15%,Nhan vien
Marketing,NV02677,Ba Huong Nguyen,1983-11-05,Nam,24266683,41,27906685,Tăng lương 15%,Nhan vien
Kinh doanh,NV02678,Lam Duc Pham,1977-06-27,Nam,11793813,47,13562885,Tăng lương 15%,Nhan vien
Ke toan,NV02679,Hoang Xuan Duong,1966-09-28,Nu,20048660,58,23055959,Tăng lương 15%,Nhan vien
Marketing,NV02680,Chi Nhat Hoang,1971-06-08,Nam,17184725,54,19762434,Tăng lương 15%,Nhan vien
Kinh doanh,NV02681,Chi Kim Vu,1993-06-06,Nu,29654003,32,34102103,Tăng lương 15%,Nhan vien
Nhan su,NV02682,Thanh Hoang,1967-08-17,Nu,27495748,57,31620110,Tăng lương 15%,Nhan vien
Ke toan,NV02683,Chau Le,1997-02-17,Nu,21672385,28,21672385,Không tăng lương,Nhan vien
Marketing,NV02684,Anh Khoa Dang,1980-07-26,Nam,17834684,44,20509887,Tăng lương 15%,Nhan vien
Marketing,NV02685,Quy co Hai Vu,1991-03-23,Nu,9251280,34,10638972,Tăng lương 15%,Nhan vien
Ke toan,NV02686,Hanh Mai Bao Tran,1969-09-24,Nam,12569826,55,14455300,Tăng lương 15%,Nhan vien
Nhan su,NV02687,Anh Hoang Mai,1994-03-05,Nu,7235977,31,8321374,Tăng lương 15%,Nhan vien
Ke toan,NV02688,Anh Quang Le,1995-08-12,Nam,20424436,29,20424436,Không tăng lương,Nhan vien
